file_name,text
000015.jpg,A white car with moderate scratch on the front bumper 
000017.jpg,A white car with a light scratch beneath the door 
000018.jpg,A white car with a moderate scratch on the front bumper .
000019.jpg,A white car with light scratches on the front bumper
000020.jpg,A blue car with severe scratches on the front bumper
000021.jpg,A white car with moderate scratch on the rear door 
000024.jpg,A white car with moderate scratch on the front bumper 
000025.jpg,A white car with severe scratches on the front bumper 
000026.jpg,A white car with moderate scratches on the rear bumper 
000027.jpg,A white car with moderate scratches on the body 
000030.jpg,A silver car with severe  scratches on the fender 
000036.jpg,A beige car with moderate scratches on the front bumper 
000043.jpg,A beige car with moderate scratches on the front bumper
000046.jpg,A white car with moderate scratches on the body
000064.jpg,A silver car with a severe scratches beneath the door 
000070.jpg,A silver car with light scratches on the front bumper
000073.jpg,A green car with moderate scratches on the rear left f ender and rear bumper 
000097.jpg,A blue car with severe scratches  on the front bumper 
000105.jpg,A black car with moderate scratches on  the driver 's side rear door 
000107.jpg,A black car with moderate scratches on the rear fender 
000115.jpg,A white car with moderate scratches on the body 
000120.jpg,A white car with a severe scratch on the front bumper .
000121.jpg,A silver car with moderate scratches on the body 
000122.jpg,A silver car with moderate scratch on the front bumper .
000131.jpg,A blue car with moderate scratches on the fender
000147.jpg,A white car with a severe scratches beneath the door 
000148.jpg,A white car with moderate scratches on the front bumper 
000240.jpg,A blue car with moderate scratch on the rear bumper .
000352.jpg,A white car with a light scratch on the front bumper .
000360.jpg,A silver car with a moderate scratch on the rear bumper .
000367.jpg,A white car with a moderate scratch on the rear bumper
000369.jpg,A white car with moderate scratches on the rear bumper 
000409.jpg,A white car with a moderate scratches on the rear bumper
000417.jpg,A beige car with a light scratch on the rear bumper 
000418.jpg,A silver car with moderate scratch on the front fender 
000424.jpg,A white car with light scratches on the body 
000445.jpg,A white car with light scratches on the body 
000449.jpg,A white car with moderate scratches on the front bumper 
000451.jpg,A white car with moderate scratches on the front bumper 
000455.jpg,A white car with moderate scratches on the body 
000476.jpg,A gray car with a light scratch on the front bumper 
000477.jpg,A silver car with a light scratches on the front bumper 
000478.jpg,A silver car with moderate scratches on the front bumper 
000479.jpg,A white car with moderate scratch on the front bumper 
000481.jpg,A silver car with a severe scratch on the front bumper 
000482.jpg,A black car with moderate scratches on the front bumper 
000488.jpg,A silver car with moderate scratches on the rear bumper 
000497.jpg,A white car with moderate scratches on the front bumper 
000504.jpg,A white car with moderate scratches on the front bumper 
000523.jpg,A beige car with moderate scratches on the front bumper 
000525.jpg,A beige car with severe scratches on the front bumper and front fender 
000533.jpg,A beige car with a light scratch on the rear door
000551.jpg,A blue car with moderate scratches on the front bumper 
000556.jpg,A beige car with moderate scratch on the rear bumper 
000559.jpg,A blue car with a moderate scratch on the body 
000560.jpg,A blue car with moderate scratches on the front bumper and front fender 
000567.jpg,A silver car with a light scratch on the body
000583.jpg,A white car with severe scratch on the rear bumper 
000618.jpg,A gray car with moderate scratch on the rear bumper 
000619.jpg,A silver car with a moderate scratches on the front bumper 
000620.jpg,A white car with moderate scratches on the front bumper 
000621.jpg,A blue car with moderate scratches on the front bumper 
000630.jpg,A white car with a light scratches on the rear bumper 
000635.jpg,A blue car with a light scratches on the front bumper 
000636.jpg,A blue car with moderate scratches on the body 
000638.jpg,A grey car with moderate scratches on the body 
000640.jpg,A black car with severe scratch on the front bumper 
000644.jpg,A white car with a moderate scratches on the front bumper 
000646.jpg,A purple car with light scratches on the body 
000648.jpg,A dark brown car with light scratch on the front bumper 
