file_name,text
000041.jpg,A white car with moderate shattered glass on the front windshield
000051.jpg,A red car with severe shattered glass on the front windshield
000061.jpg,A silver car with severe shattered glass on the rear window 
000068.jpg,A white car with severe shattered glass on the front windshield
000090.jpg,A light green car with severe shattered glass on the passenger's side window
000091.jpg,A blue car with severe shattered glass on the front windshield 
000138.jpg,A green car with severe shattered glass on the front windshield 
000139.jpg,A black car with moderate shattered glass on the front windshield
000140.jpg,A silver car with severe shattered glass on the rear window 
000143.jpg,A silver car with severe shattered glass on the  side window 
000144.jpg,A white car with severe shattered glass on the front windshield 
000166.jpg,A white car with moderate shattered glass on the front windshield 
000167.jpg,A blue car with moderate shattered glass on the front  windshield 
000168.jpg,A white car with severe shattered glass on the front windshield
000169.jpg,A  car with light shattered glass on the front windshield 
000171.jpg,A black car with severe shattered glass on the front windshield 
000172.jpg,A dark blue car with severe shattered glass on the front windshield 
000174.jpg,A blue car with severe shattered glass on the rear windshield and rear window 
000175.jpg,A blue car with severe shattered glass on the rear window 
000176.jpg,A purple car with severe shattered glass on the  rear window 
000177.jpg,A blue car with severe shattered glass on the rear window 
000179.jpg,A white car with severe shattered glass on the rear windshield 
000180.jpg,A white car with severe shattered glass on the rear windshield 
000184.jpg,A white car with severe shattered glass on the  rear window
000185.jpg,A blue car with severe shattered glass on the  rear window
000186.jpg,A blue car with severe shattered glass on the  rear window
000187.jpg,A blue car with severe shattered glass on the  rear window
000196.jpg,A blue car with severe shattered glass on the rear windshield .
000197.jpg,A blue car with severe shattered glass on the rear windshield
000198.jpg,A blue car with severe shattered glass on the rear windshield
000200.jpg,A blue car with severe shattered glass on the  rear window
000203.jpg,A red car with severe shattered glass on the front windshield
000204.jpg,A blue car with severe shattered glass on the  rear window
000207.jpg,A gray car with severe shattered glass on the front windshield 
000208.jpg,A white car with severe shattered glass on the front windshield 
000211.jpg,A blue car with light shattered glass on the front windshield
000212.jpg,A  car with severe shattered glass on the front windshield 
000216.jpg,A blue car with moderate shattered glass on the front windshield 
000217.jpg,A black car with severe shattered glass on the front windshield 
000218.jpg,A silver car with severe shattered glass on the front windshield 
000219.jpg,A gray car with severe shattered glass on the front windshield
000220.jpg,A gray car with severe shattered glass on the front windshield
000221.jpg,A silver car with severe shattered glass on the front windshield 
000222.jpg,A orange car with light shattered glass on the front windshield
000226.jpg,A silver car with severe shattered glass on the front windshield 
000227.jpg,A silver car with severe shattered glass on the front windshield 
000228.jpg,A silver car with severe shattered glass on the front windshield
000232.jpg,A silver car with light shattered glass on the front windshield
000233.jpg,A silver car with light shattered glass on the front windshield
000235.jpg,A black car with severe shattered glass on the front windshield
000245.jpg,A gray car with severe shattered glass on its side window 
000246.jpg,A white car with severe shattered glass on the front windshield 
000251.jpg,A white car with severe shattered glass on the front windshield 
000252.jpg,A green car with severe shattered glass on the side window 
000253.jpg,A green car with severe shattered glass on the side window 
000256.jpg,A black car with severe shattered glass on the front windshield
000262.jpg,A white car with severe shattered glass on the front windshield
000263.jpg,A black car with severe shattered glass on the front windshield
000266.jpg,A red car with severe shattered glass on the driver's side rear window 
000267.jpg,A green car with severe shattered glass on the passenger's side window 
000278.jpg,A black car with severe shattered glass on the driver's side rear window 
000279.jpg,A white car with severe shattered glass on the front windshield 
000282.jpg,A maroon car with severe shattered glass on the rear windshield 
000283.jpg,A maroon car with severe shattered glass on the rear windshield 
000285.jpg,A white car with severe shattered glass on the rear window 
000286.jpg,A green car with severe shattered glass on the front windshield 
000287.jpg,A black car with severe shattered glass on its passenger's side window 
000288.jpg,A silver car with severe shattered glass on the rear window 
000289.jpg,A black car with severe shattered glass on the rear window 
000290.jpg,A gray car with severe shattered glass on the front windshield
000305.jpg,A blue car with severe shattered glass on the driver's side window 
000306.jpg,A blue car with severe shattered glass on the front windshield 
000307.jpg,A black car with severe shattered glass on the front windshield
000308.jpg,A white car with severe shattered glass on the front windshield
000309.jpg,A white car with severe shattered glass on the front windshield
000310.jpg,A white car with severe shattered glass on the front windshield
000314.jpg,A white car with severe shattered glass on the front windshield
000315.jpg,A white car with severe shattered glass on the front windshield
000317.jpg,A white car with severe shattered glass on the front windshield
000318.jpg,A white car with severe shattered glass on the front windshield
000319.jpg,A white car with severe shattered glass on the front windshield
000320.jpg,A silver car with moderate shattered glass on the front windshield
000321.jpg,A black car with severe shattered glass on the front windshield 
000322.jpg,A car with severe shattered glass on the front windshield 
000326.jpg,A blue car with severe shattered glass on the front windshield 
000329.jpg,A silver car with severe shattered glass on the front windshield 
000330.jpg,A silver car with severe shattered glass on the front windshield 
000336.jpg,A blue car with moderate shattered glass on the front windshield 
000337.jpg,A yellow car with severe shattered glass on the front windshield
000338.jpg,A yellow car with severe shattered glass on the front windshield
000339.jpg,A blue car with severe shattered glass on the front windshield
000340.jpg,A pink car with severe shattered glass on the front windshield
000341.jpg,A pink car with severe shattered glass on the front windshield
000342.jpg,A blue car with severe shattered glass on the front windshield
000343.jpg,A white car with severe shattered glass on the front windshield 
000344.jpg,A white car with severe shattered glass on the front windshield 
000370.jpg,A gray car with severe shattered glass on the rear window
000375.jpg,A silver car with severe shattered glass on its front windshield 
000398.jpg,A white car with moderate shattered glass on its front windshield 
000434.jpg,A white car with severe shattered glass on its front windshield 
000435.jpg,A orange car with severe shattered glass on the passenger 's side window 
000464.jpg,A white car with severe shattered glass on the front windshield 
000465.jpg,A white car with severe shattered glass on the front windshield 
000466.jpg,A red car with severe shattered glass on the front windshield 
000471.jpg,A car with severe shattered glass on the front windshield 
000472.jpg,A blue car with moderate shattered glass on the front windshield 
000473.jpg,A gray car with severe shattered glass on the front windshield 
000474.jpg,A red car with severe shattered glass on the front windshield 
000543.jpg,A white car with severe shattered glass on the front windshield 
000565.jpg,A silver car with severe shattered glass on the front windshield 
000577.jpg,A white car with severe shattered glass on the front windshield 
000592.jpg,A gray car with severe shattered glass on the front windshield 
000613.jpg,A red car with severe shattered glass on the front windshield 
000633.jpg,A silver car with severe shattered glass on the rear windshield 
000634.jpg,A silver car with severe shattered glass on the rear windshield 
000711.jpg,A black car with severe shattered glass on the rear windshield 
000786.jpg,A car with severe shattered glass on the front windshield 
000787.jpg,A black car with severe shattered glass on the rear windshield 
000789.jpg,A black car with severe shattered glass on the front windshield 
000791.jpg,A silver car with severe shattered glass on the front windshield 
000799.jpg,A blue car with severe shattered glass on the front windshield 
000850.jpg,A black car with moderate shattered glass on the front windshield 
000851.jpg,A white car with moderate shattered glass on the front windshield 
000854.jpg,A black car with moderate shattered glass on the front windshield
000855.jpg,A white car with severe shattered glass on the front windshield 
000887.jpg,A car with severe shattered glass on the front windshield 
000888.jpg,A silver car with severe shattered glass on the front windshield 
000889.jpg,A blue car with severe shattered glass on the driver's side window
000890.jpg,A blue car with severe shattered glass on the driver's side window
000948.jpg,A car with severe shattered glass on the front windshield
000961.jpg,A car with severe shattered glass on the front windshield and passenger's side window
000962.jpg,A white car with severe shattered glass on the front windshield 
000984.jpg,A gray car with severe shattered glass on the passenger's side window
000985.jpg,A white car with severe shattered glass on the front windshield 
001002.jpg,A black car with moderate shattered glass on the front windshield
001031.jpg,A black car with severe shattered glass on the rear windshield
001036.jpg,A gray car with severe shattered glass on the front windshield 
001049.jpg,A gray car with severe shattered glass on the driver's side window
001117.jpg,A red car with severe shattered glass on the front windshield 
001118.jpg,A white car with severe shattered glass on the front windshield 
001152.jpg,A green car with severe shattered glass on the driver 's side window 
001159.jpg,A white car with severe shattered glass on its rear windshield 
001161.jpg,A green car with severe shattered glass on the front windshield
001174.jpg,A red car with severe shattered glass on the front windshield
001187.jpg,A brown car with severe shattered glass on the driver 's side window  and driver's side rear window
001188.jpg,A brown car with moderate shattered glass on the driver 's side window 
001194.jpg,A maroon car with severe shattered glass on its driver 's side window 
001207.jpg,A white car with severe shattered glass on the front windshield 
001208.jpg,A white car with severe shattered glass on the front windshield 
001218.jpg,A blue car with severe shattered glass on the rear windshield
001222.jpg,A gray car with severe shattered glass on the rear window 
001267.jpg,A beige car with severe shattered glass on the rear windshield
001281.jpg,A white car with severe shattered glass on the front windshield 
001341.jpg,A silver car with severe shattered glass on the front windshield 
001378.jpg,A red car with severe shattered glass on the rear windshield
001380.jpg,A red car with severe shattered glass on the front windshield 
001381.jpg,A blue car with severe shattered glass on the passenger 's side window 
001382.jpg,A silver car with light shattered glass on the front windshield 
001423.jpg,A red car with severe shattered glass on the front windshield 
001430.jpg,A green car with severe shattered glass on the front windshield 
001656.jpg,A silver car with severe shattered glass on the front windshield 
001658.jpg,A silver car with severe shattered glass on the front windshield 
001660.jpg,A silver car with severe shattered glass on the front windshield 
001661.jpg,A silver car with severe shattered glass on the front windshield 
001687.jpg,A silver car with severe shattered glass on the front windshield 
001691.jpg,A black car with severe shattered glass on the front windshield 
001693.jpg,A white car with severe shattered glass on the front windshield 
001904.jpg,A black car with severe shattered glass on the front windshield 
002307.jpg,A blue car with severe shattered glass on the front windshield 
002424.jpg,A black car with severe shattered glass on the front windshield 
002425.jpg,A car with severe shattered glass on the front windshield
002426.jpg,A black car with severe shattered glass on the front windshield 
003024.jpg,A gray car with severe shattered glass on the rear window 
003027.jpg,A white car with severe shattered glass on the front windshield 
003029.jpg,A black car with severe shattered glass on the front windshield 
003030.jpg,A black car with severe shattered glass on the front windshield 
003032.jpg,A black car with severe shattered glass on the front windshield 
003033.jpg,A black car with severe shattered glass on the front windshield 
003039.jpg,A white car with severe shattered glass on the front windshield 
003041.jpg,A car with severe shattered glass on the front windshield
003042.jpg,A blue car with moderate shattered glass on the front windshield 
003045.jpg,A blue car with severe shattered glass on the front windshield 
003046.jpg,A black car with severe shattered glass on the front windshield 
003047.jpg,A white car with severe shattered glass on the front windshield 
003048.jpg,A white car with severe shattered glass on the front windshield 
003051.jpg,A brown car with severe shattered glass on the front windshield
003055.jpg,A black car with severe shattered glass on the rear window 
003056.jpg,A black car with severe shattered glass on the rear window 
003058.jpg,A white car with severe shattered glass on the front windshield 
003060.jpg,A white car with severe shattered glass on the front windshield 
003063.jpg,A silver car with severe shattered glass on the front windshield 
003064.jpg,A black car with severe shattered glass on the front windshield 
003065.jpg,A white car with severe shattered glass on the front windshield 
003069.jpg,A gray car with severe shattered glass on the front windshield 
003074.jpg,A car with severe shattered glass on the front windshield
003075.jpg,A car with severe shattered glass on the front windshield
003078.jpg,A car with severe shattered glass on the front windshield
003084.jpg,A car with severe shattered glass on the front windshield
003093.jpg,A blue car with severe shattered glass on the front windshield
003098.jpg,A white car with severe shattered glass on the front windshield 
003880.jpg,A black car with severe shattered glass on the rear window 
003881.jpg,A blue car with severe shattered glass on passenger's side window 
003898.jpg,A black car with severe shattered glass on the rear windshield 
003901.jpg,A black car with severe shattered glass on the rear windshield 
003904.jpg,A silver car with severe shattered glass on the front windshield 
003906.jpg,A black car with moderate shattered glass on the front windshield 
003914.jpg,A white car with severe shattered glass on the front windshield 
003924.jpg,A black car with severe shattered glass on the front windshield 
003929.jpg,A silver car with severe shattered glass on the front windshield 
003945.jpg,A white car with severe shattered glass on the front windshield 
003949.jpg,A silver car with severe shattered glass on the rear window
003954.jpg,A silver car with severe shattered glass on the side window
003959.jpg,A silver car with severe shattered glass on the front windshield 
003973.jpg,A car with moderate shattered glass on the front windshield
003974.jpg,A white car with moderate shattered glass on the front windshield 
003976.jpg,A maroon car with severe shattered glass on the rear windshield 
003984.jpg,A silver car with severe shattered glass on the rear window
003987.jpg,A white car with moderate shattered glass on the front windshield 
003988.jpg,A white car with moderate shattered glass on the front windshield 
003995.jpg,A white car with moderate shattered glass on the front windshield 
